"city","countryCode","location/lat","location/lng","name","publishedAtDate","reviewContext/Can you share more about these topics?","reviewContext/Difficulty","reviewContext/Dog-friendliness","reviewContext/Fees","reviewContext/Parking","reviewContext/Parking options","reviewContext/Parking space","reviewContext/Picnic area","reviewContext/Playground","reviewContext/Public Transportation","reviewContext/Recommended activities","reviewContext/Restrooms","reviewContext/Route type","reviewContext/Time spent","reviewId","reviewUrl","reviewOrigin","reviewerId","stars","state","text","title","url"
"Cianjur Regency","ID","-6.7770239","106.9746474","Dita Ariyani","2024-09-01T16:50:46.972Z",,"Hard",,,,,,,,,"Hiking",,"Point-to-Point","4+ hr","ChZDSUhNMG9nS0VJQ0FnSUNIMU1mclF3EAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNIMU1mclF3EAE!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgICH1MfrQw%7CCgwI5rbStgYQoOrWzwM%7C?hl=en","Google","106087611937873329123","4","West Java","Area camp lumayan luas tapi berbatu
Jadi pinter pinter pilih tempat
Usahakan sampai sini jangan terlalu sore atau kemaleman karna bakal rebutan tempat sama orang banyak
Tanahnya berbatu jadi gak bisa rata
Demi kenyamanan saat tidur kalau punya matras angin bisa dibawa tapi bawahnya dilapisi matras alumunium foil atau footprint agar tidak merusah matras angin kalian
Ada 2 warung di dekat plang pos kandang badak dan deket toilet
Ada sumber air yang bisa buat masak, wudhu dan isi ulang air kalian","Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","lionparcel cibaduyutbdo","2024-08-26T18:49:27.405Z",,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUQ3MVluQzR3RRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ3MVluQzR3RRAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgID71YnC4wE%7CCgwIt5yztgYQuOKVwQE%7C?hl=en","Google","106576051500746186404","5","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Muhammad Ranu","2024-08-08T09:36:08.427Z",,"Moderate",,,,,,,,,"Walking",,"Out-and-Back","4+ hr","ChdDSUhNMG9nS0VJQ0FnSURiN2J6U2h3RRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURiN2J6U2h3RRAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgIDb7bzShwE%7CCgwIiKPStQYQ4JTSywE%7C?hl=en","Google","106426385582132363860","5","West Java","Rame banget beuh 😁","Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Lukman hakim","2024-07-13T14:33:38.264Z",,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSURyeUl5QV9nRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURyeUl5QV9nRRAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgIDryIyA_gE%7CCgsIwqDKtAYQ6LOYfg%7C?hl=en","Google","106418579619027853347","5","West Java","Disini tempat camp terakhir utuk para pendaki walaupun bisa sampe mandalawangintapi lebih enak camp di kandang badak . Ada warung,  WC jadi gak kebingungan kalo laper","Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Bowie","2024-05-23T13:08:18.283Z",,"Moderate",,,,,,,,,"Hiking, Birdwatching, Walking",,"Out-and-Back","2-3 hr","ChdDSUhNMG9nS0VJQ0FnSURUZ3FmcXZ3RRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURUZ3FmcXZ3RRAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgIDTgqfqvwE%7CCgwIwv-8sgYQ6LWmhwE%7C?hl=en","Google","104968641441235559797","5","West Java","Tempat camp terakhir sebelum ke puncak Gn Gede untuk akses dari Cibodas","Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","dasa wds","2024-05-08T13:07:02.723Z",,"Moderate",,,,,,,,,"Hiking",,"Out-and-Back","3-4 hr","ChdDSUhNMG9nS0VJQ0FnSURqbF9HVGdnRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURqbF9HVGdnRRAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgIDjl_GTggE%7CCgwI9vHtsQYQkO782AI%7C?hl=en","Google","116990808723861233415","5","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","hurint roy","2024-02-02T02:41:34.676Z",,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUR0ME9xTm53RRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR0ME9xTm53RRAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgIDt0OqNnwE%7CCgwI3qzxrQYQ2PPhwgI%7C?hl=en","Google","117918583482810498862","5","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Henry suryawan","2024-01-08T15:12:48.678Z",,"Moderate",,,,,,,,,"Hiking, Walking",,"Out-and-Back","4+ hr","ChZDSUhNMG9nS0VJQ0FnSUQxLWJIOVhREAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQxLWJIOVhREAE!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgID1-bH9XQ%7CCgwI8KHwrAYQ2KGmwwI%7C?hl=en","Google","113116400809094586509","4","West Java","Perlu perawatan fasilitas.. Bangunan sudah rapuk.. Toilet diperbaiki..
Karena pendakian perlu selter","Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Ryan Marjoko","2023-12-30T17:42:53.995Z",,,,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnSUMxdnJxcFVnEAE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxdnJxcFVnEAE!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgIC1vrqpUg%7CCgwIna3BrAYQ2M3w2gM%7C?hl=en","Google","105900376092101224109","5","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
"Cianjur Regency","ID","-6.7770239","106.9746474","Qwing Wibowo","2023-12-30T16:58:34.463Z",,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUMxdnVUaGtnRRAB","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxdnVUaGtnRRAB!2m1!1s0x0:0xebe54e20a1c37dd8!3m1!1s2@1:CIHM0ogKEICAgIC1vuThkgE%7CCgwIupjBrAYQ2L6B3QE%7C?hl=en","Google","101095326823599417557","5","West Java",,"Kandang Badak Post","https://www.google.com/maps/search/?api=1&query=Kandang%20Badak%20Post&query_place_id=ChIJVyswes-0aS4R2H3DoSBO5es"
