"city","countryCode","location/lat","location/lng","name","publishedAtDate","reviewContext/Aktivitas yang direkomendasikan","reviewContext/Area piknik","reviewContext/Biaya","reviewContext/Jenis rute","reviewContext/Kesesuaian untuk anjing","reviewContext/Kesulitan","reviewContext/Opsi tempat parkir","reviewContext/Parkir","reviewContext/Sebaiknya buat reservasi","reviewContext/Tahukah Anda tentang topik ini?","reviewContext/Taman Bermain","reviewContext/Tempat parkir","reviewContext/Toilet","reviewContext/Transportasi Umum","reviewContext/Waktu antrean","reviewContext/Waktu kunjungan","reviewContext/Waktu yang dihabiskan","reviewId","reviewOrigin","reviewUrl","reviewerId","stars","state","text","title","url"
"Kabupaten Garut","ID","-7.3165147","107.7231564","Dazzlin Buzzlin","2025-07-15T12:59:50.310Z",,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2tjelN6aGpXR05QWjBOSWRrTjRVV0p4ZEdKM1dXYxAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tjelN6aGpXR05QWjBOSWRrTjRVV0p4ZEdKM1dXYxAB!2m1!1s0x0:0xfaabd7f90f2956c2!3m1!1s2@1:CAIQACodChtycF9oOkczSzhjWGNPZ0NIdkN4UWJxdGJ3WWc%7C0cS_25HX-5j%7C?hl=id","115147195807027192792","4","Jawa Barat",,"Taman Edelweis - Gn. Papandayan","https://www.google.com/maps/search/?api=1&query=Taman%20Edelweis%20-%20Gn.%20Papandayan&query_place_id=ChIJ1efSYrajaC4RwlYpD_nXq_o"
"Kabupaten Garut","ID","-7.3165147","107.7231564","Danu Ariwibowo","2025-05-21T16:18:03.696Z",,,,,,,,,,,,,,,,,,"ChZDSUhNMG9nS0VPcm9sY1R6MzR2cU9REAE","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VPcm9sY1R6MzR2cU9REAE!2m1!1s0x0:0xfaabd7f90f2956c2!3m1!1s2@1:CIHM0ogKEOrolcTz34vqOQ%7CCgwIu_m3wQYQqJySzAI%7C?hl=id","109615654634577250658","5","Jawa Barat","Taman edelweis yang cantik dan indah....","Taman Edelweis - Gn. Papandayan","https://www.google.com/maps/search/?api=1&query=Taman%20Edelweis%20-%20Gn.%20Papandayan&query_place_id=ChIJ1efSYrajaC4RwlYpD_nXq_o"
"Kabupaten Garut","ID","-7.3165147","107.7231564","Agung Berlian W","2025-04-04T23:58:47.142Z",,,,,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnTUNJdTRYYnZ3RRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNJdTRYYnZ3RRAB!2m1!1s0x0:0xfaabd7f90f2956c2!3m1!1s2@1:CIHM0ogKEICAgMCIu4XbvwE%7CCgsIt-TBvwYQwK7gQw%7C?hl=id","103837235163756000240","5","Jawa Barat","Pengalaman tak terlupakan di pepohonan bunga Edelweis di Gunung Papandayana","Taman Edelweis - Gn. Papandayan","https://www.google.com/maps/search/?api=1&query=Taman%20Edelweis%20-%20Gn.%20Papandayan&query_place_id=ChIJ1efSYrajaC4RwlYpD_nXq_o"
"Kabupaten Garut","ID","-7.3165147","107.7231564","roy sunjaya","2025-03-30T09:01:30.550Z",,"Hiking dan piknik.. tapi ingat bawa turun sampah nya yaaa",,,,,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnTUNJaE5QWFVREAE","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNJaE5QWFVREAE!2m1!1s0x0:0xfaabd7f90f2956c2!3m1!1s2@1:CIHM0ogKEICAgMCIhNPXUQ%7CCgwI6pCkvwYQqOfOhgI%7C?hl=id","111190479128777837589","5","Jawa Barat","Indah banget.... Harus kesini minimal 1 x seumur hidup... Percaya dehhh","Taman Edelweis - Gn. Papandayan","https://www.google.com/maps/search/?api=1&query=Taman%20Edelweis%20-%20Gn.%20Papandayan&query_place_id=ChIJ1efSYrajaC4RwlYpD_nXq_o"
"Kabupaten Garut","ID","-7.3165147","107.7231564","Serlina Febrianti","2025-03-21T15:05:40.538Z",,"Ada",,,,,,,,,,,"2k",,,,,"ChZDSUhNMG9nS0VJQ0FnTUN3aDlib2RREAE","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUN3aDlib2RREAE!2m1!1s0x0:0xfaabd7f90f2956c2!3m1!1s2@1:CIHM0ogKEICAgMCwh9bodQ%7CCgwIxID2vgYQiOKBgQI%7C?hl=id","114207517428326999441","5","Jawa Barat","Tman Edelweis nya ngga trlalu padet, tapi cukup bagus untuk spot foto2 dan view dari gunung papandayan cantikk
Lokasinya ngga jauh dari hutan mati papandayan dan dari pondok saladah","Taman Edelweis - Gn. Papandayan","https://www.google.com/maps/search/?api=1&query=Taman%20Edelweis%20-%20Gn.%20Papandayan&query_place_id=ChIJ1efSYrajaC4RwlYpD_nXq_o"
"Kabupaten Garut","ID","-7.3165147","107.7231564","Lasmawati 946","2024-11-22T12:35:01.303Z",,,,,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUNQX01MbTd3RRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNQX01MbTd3RRAB!2m1!1s0x0:0xfaabd7f90f2956c2!3m1!1s2@1:CIHM0ogKEICAgICP_MLm7wE%7CCgwI9fSBugYQ2MHqkAE%7C?hl=id","112028151419110755565","5","Jawa Barat",,"Taman Edelweis - Gn. Papandayan","https://www.google.com/maps/search/?api=1&query=Taman%20Edelweis%20-%20Gn.%20Papandayan&query_place_id=ChIJ1efSYrajaC4RwlYpD_nXq_o"
"Kabupaten Garut","ID","-7.3165147","107.7231564","Henry Rohi","2024-09-03T13:05:36.165Z",,,,,,,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnSUNIaXNDb2NBEAE","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNIaXNDb2NBEAE!2m1!1s0x0:0xfaabd7f90f2956c2!3m1!1s2@1:CIHM0ogKEICAgICHisCocA%7CCgsIoJPctgYQ6KiCTw%7C?hl=id","117355335265136276327","5","Jawa Barat",,"Taman Edelweis - Gn. Papandayan","https://www.google.com/maps/search/?api=1&query=Taman%20Edelweis%20-%20Gn.%20Papandayan&query_place_id=ChIJ1efSYrajaC4RwlYpD_nXq_o"
"Kabupaten Garut","ID","-7.3165147","107.7231564","Christ EL (Christ)","2024-08-11T11:25:18.899Z",,,,,,,,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnSUM3b0lmTGZBEAE","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM3b0lmTGZBEAE!2m1!1s0x0:0xfaabd7f90f2956c2!3m1!1s2@1:CIHM0ogKEICAgIC7oIfLfA%7CCgwInr_itQYQsMuQrQM%7C?hl=id","109501092868902747843","5","Jawa Barat","Awsome place to go
After 50 start climb... It's not too late to try it with family & friends
10082024","Taman Edelweis - Gn. Papandayan","https://www.google.com/maps/search/?api=1&query=Taman%20Edelweis%20-%20Gn.%20Papandayan&query_place_id=ChIJ1efSYrajaC4RwlYpD_nXq_o"
"Kabupaten Garut","ID","-7.3165147","107.7231564","Shadow Goweser","2024-06-23T23:59:55.066Z",,,,,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSUNMOThMaDRnRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNMOThMaDRnRRAB!2m1!1s0x0:0xfaabd7f90f2956c2!3m1!1s2@1:CIHM0ogKEICAgICL98Lh4gE%7CCgsI--3iswYQ6IPLHw%7C?hl=id","117974342610511766581","4","Jawa Barat",,"Taman Edelweis - Gn. Papandayan","https://www.google.com/maps/search/?api=1&query=Taman%20Edelweis%20-%20Gn.%20Papandayan&query_place_id=ChIJ1efSYrajaC4RwlYpD_nXq_o"
"Kabupaten Garut","ID","-7.3165147","107.7231564","imam munandar","2024-04-29T05:02:48.845Z",,,,,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnSURqdVBDdG5nRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURqdVBDdG5nRRAB!2m1!1s0x0:0xfaabd7f90f2956c2!3m1!1s2@1:CIHM0ogKEICAgIDjuPCtngE%7CCgwI-NO8sQYQiP6MkwM%7C?hl=id","113525337654659700039","5","Jawa Barat",,"Taman Edelweis - Gn. Papandayan","https://www.google.com/maps/search/?api=1&query=Taman%20Edelweis%20-%20Gn.%20Papandayan&query_place_id=ChIJ1efSYrajaC4RwlYpD_nXq_o"
