reviewId,nama_gunung,text,stars,name
Ci9DQUlRQUNvZENodHljRjlvT2t0SE0wdFpWWEZKWjBvME5FTk5SV3B0WkhGZmNWRRAB,gunung ciremai,,5,Bayu Picandra S Kom
Ci9DQUlRQUNvZENodHljRjlvT2xVM01scFlja054ZFZCRk5FNHhRMHg1ZUZaVmJYYxAB,gunung ciremai,,5,Dwi Resmianingsih
Ci9DQUlRQUNvZENodHljRjlvT2poM2VGbHlVV0p3V21SSmJtTndNMjg1TmtSdFFWRRAB,gunung ciremai,"Sungguh luar biasa wisata ini dengan view gunung ciremai,dan suasana alam segarr",5,Ridzwan Nurarifiansyah
Ci9DQUlRQUNvZENodHljRjlvT2kxbVMyeFBXbWR3TWpsRGNUY3RNRTFyZVdWbVRWRRAB,gunung ciremai,bestest view ever!,5,Siti Radinta Al Aishya
Ci9DQUlRQUNvZENodHljRjlvT25GdlZ6QmplR28wZFdZNGNtcEdWR1JvYjFoemRYYxAB,gunung ciremai,,5,Natasya Aulya
Ci9DQUlRQUNvZENodHljRjlvT2tGM1RtSm1ZVlk0YUdrdFVraGZhRVEwZG1JemNWRRAB,gunung ciremai,,5,Awin Awin
Ci9DQUlRQUNvZENodHljRjlvT2xWV1YxbElNRzFHUjJoeFNVcG5hazlyZFZVME9HYxAB,gunung ciremai,,5,Lola Febria
Ci9DQUlRQUNvZENodHljRjlvT2twUFl6UTVOVlZqY0VKWGFVeHlUMlV5VlVWVlpXYxAB,gunung ciremai,,5,Lilis Lisdayanti
Ci9DQUlRQUNvZENodHljRjlvT2pZMVVXMHpOVFp0VEZWTWRHOXphVGN6YkRsM2JGRRAB,gunung ciremai,,5,Man Tax
Ci9DQUlRQUNvZENodHljRjlvT2xGcmJuTm1UbE01YkRGa1QwRTFUbWh1UWkxRFUyYxAB,gunung ciremai,,5,Calvin
Ci9DQUlRQUNvZENodHljRjlvT2w5cVNFaFlVRVZXVFhsRVJXMTVhMHBHU1MwMmMwRRAB,gunung ciremai,Lama buruk parah kesorean,1,Buyung Febri ardiyanto
Ci9DQUlRQUNvZENodHljRjlvT2xoc01VMXdWMXBHTVRCNVNHVkRibkJGVFdsa2IyYxAB,gunung ciremai,,5,iing irwanto
Ci9DQUlRQUNvZENodHljRjlvT2pCMFpEVnFXSGg0Ym5kaE5EZFRjM3BVWldWbGVVRRAB,gunung ciremai,Kerenlah,5,Heri79 17
Ci9DQUlRQUNvZENodHljRjlvT2pZd2FHeENibnBZYzE5ZmNVZDBRMnBPYUdsWWJIYxAB,gunung ciremai,Suasana nyaman sejuk dan sedingin es...masih alami dengan pemandangan kebun dan pegunungan yang memanjakan mata,5,Alim Nurokhman
Ci9DQUlRQUNvZENodHljRjlvT2tGT05ITjFXazFsVFZnMVZGcDNlVVJ0ZEVWb1IzYxAB,gunung ciremai,Gunung indah,5,Ahmad Sirozudin
Ci9DQUlRQUNvZENodHljRjlvT25WSmNWbERhVFowVFVacWJDMXdiRkpmWVdWQlRuYxAB,gunung ciremai,seru,5,Lutfi Gaisyar
Ci9DQUlRQUNvZENodHljRjlvT2pnM1lXdDFZalpsTjJoUmVtTm1iRko2VmtOQ1pXYxAB,gunung ciremai,,5,Ipanna Nugraha
Ci9DQUlRQUNvZENodHljRjlvT21ONkxUaFJXSGh2V0hsVWNXNUxOV3h0VlRoMGJGRRAB,gunung ciremai,Menarik,5,Ardi gartika
Ci9DQUlRQUNvZENodHljRjlvT21WVFFqUlRkek5vTjE5aVFraFhTWEE0Ym5GTWVuYxAB,gunung ciremai,,5,Hadi Hidayat
Ci9DQUlRQUNvZENodHljRjlvT2pkaFVEaDZielJOUkdwa1prbHlTRWgxVlhoVFJGRRAB,gunung ciremai,,5,Difta Fhrz
Ci9DQUlRQUNvZENodHljRjlvT25FMGNGUXdRWEpDWjBVMUxXMXpNRkZuVWxWd01sRRAB,gunung ciremai,Layanan ramah,5,Bobon
Ci9DQUlRQUNvZENodHljRjlvT25WVFdqUlhNamxzU3pGa2RGRjVTVTl2VVZZMVdVRRAB,gunung ciremai,,4,Den Marga
Ci9DQUlRQUNvZENodHljRjlvT2xCcFMwUjRZMjQzT1ZKTVh6bHpNMFpGWTBwaGRuYxAB,gunung ciremai,,5,Kancana Kanca
Ci9DQUlRQUNvZENodHljRjlvT2pWMFMyVm1OVmRxY1RoT01tVjBaSGRsUTJveVFXYxAB,gunung ciremai,,5,AR Kurniawan
Ci9DQUlRQUNvZENodHljRjlvT25aTVRFNVpNSHBwVVdZek5HWnliRmxCTm1wRmRuYxAB,gunung ciremai,Mendaki gunung ini solo camping boleh ga si??,5,Danang shahrul
Ci9DQUlRQUNvZENodHljRjlvT2xSVFRGUmxibk5rVkRCcmVIRnRORk5LWWxRM1kzYxAB,gunung ciremai,,5,Hafiz Firza
Ci9DQUlRQUNvZENodHljRjlvT2xBME0wTjNOMUp4Y0VGU1ZXUm1hRTR5VkUxamFuYxAB,gunung ciremai,,4,Hendra S
Ci9DQUlRQUNvZENodHljRjlvT2tSNGRVdFNZMlY2T1ZoVWQyaHdaRXBvTkVGd05VRRAB,gunung ciremai,,5,Jeffis Azzalaf
ChZDSUhNMG9nS0VKanR0Y3FBME15cVBnEAE,gunung ciremai,"Curug Limbangan
Curug lombang",4,Redmi Redmi
ChZDSUhNMG9nS0VOTDJ4S3pweVB2cVF3EAE,gunung ciremai,"Mount Ciremai National Park – A Hidden Gem!
Visited Mount Ciremai National Park for the first time, and it was absolutely amazing! The air is incredibly fresh, the scenic views are breathtaking, and the cool breeze makes the whole experience refreshing and peaceful. It’s the perfect escape from city life — surrounded by nature, lush greenery, and stunning mountain landscapes. Whether you’re hiking or just enjoying the atmosphere, this place is truly a natural paradise. Many fresh vegetables and persimmon trees around. The local farmers kindly let us pluck and take some—such a warm and generous gesture! Can’t wait to go back!",5,Faisal Sayed
ChdDSUhNMG9nS0VOdVgtN3lRa2NyR3J3RRAB,gunung ciremai,,5,Fiqih Dwiyuda
ChZDSUhNMG9nS0VJQ0FnSUNRd3UzWUZnEAE,gunung ciremai,Udara sejuk banget di sini kami bersepeda dari Cirebon,5,Samuel Zeno
ChZDSUhNMG9nS0VQZkcxb3p0X0tYSlBREAE,gunung ciremai,,5,Lia Muda
ChZDSUhNMG9nS0VLLXB6S0M4MHF5ZkZ3EAE,gunung ciremai,Bagus sekali untuk healing,5,ASAS 89
ChZDSUhNMG9nS0VLU08wYzdBbnY2dE13EAE,gunung ciremai,,5,Sharapova Sihaloho
ChZDSUhNMG9nS0VOS1A5Y0xpNnN6NlZBEAE,gunung ciremai,,5,Andi Hermawan
ChdDSUhNMG9nS0VOeVc0Ylhja2ZiT29BRRAB,gunung ciremai,segera booking dari sekarang,5,Aldi Renaldi
ChdDSUhNMG9nS0VLT1hnWWIta3B1Y29nRRAB,gunung ciremai,madepppp,5,Frdi Sptiandi
ChZDSUhNMG9nS0VNX1VnNEs1MGVQZlZREAE,gunung ciremai,Luar biasa,5,Doni Aris Setiawan
ChdDSUhNMG9nS0VKUEIyUHkyaW9DeDNBRRAB,gunung ciremai,jossss,5,Dafa Artando
ChZDSUhNMG9nS0VPMnkwb0NRcXVUZkRREAE,gunung ciremai,,5,Agus R. J.
ChdDSUhNMG9nS0VJcUF5TFNlcmRMMnJBRRAB,gunung ciremai,,5,Dita Gustiany
ChZDSUhNMG9nS0VPLUZsX21XcWY3UVRBEAE,gunung ciremai,"One of the most rewardingly beautiful hikes of my life. Gunung Ciremai is breathtaking showcasing the highest summit in West Java. From jungle at base camp to volcanic Mars-like surface at the summit, this hike is worth every second of pain and fatigue!",5,Billy Bean
ChZDSUhNMG9nS0VQcVBwTHVuaWRQM2RBEAE,gunung ciremai,Tempatnya sejuk dan bersih,5,Odorikus Sarumaha
ChdDSUhNMG9nS0VOSzYtZXYzdTRTODVBRRAB,gunung ciremai,"perjuangan yang susah, dibalas dengan view yang indah",5,Mikail Wafi
ChdDSUhNMG9nS0VJQ0FnTUNZNFA2czhnRRAB,gunung ciremai,Keliatan dari tol juga ya kalo ga ada awan,4,Syarifattul Firdaus
ChdDSUhNMG9nS0VJQ0FnTURvd3BHLTlBRRAB,gunung ciremai,Serrrru,5,kiki prasetyo
ChZDSUhNMG9nS0VJQ0FnTURvbXBITEt3EAE,gunung ciremai,"Naik ke gunung Ciremai via Apuy
Simaksi 125.000 include HTM, cek kesehatan, sertifikat dan 1 x makan gratis. Ada penyewaan losbak sebesar rp.50.000 PP homestay - basecamp dan basecamp - homestay. Durasi perjalanan dari basecamp ke pos 5 area camp 8 jam, dari area camp ke puncak 2 jam. Turun dari area camp ke basecamp 3 jam. Kemarin dapetnya full tembok jadi harus remedial lagi. Tapi gapapa pas turun dari puncak kabutnya  kebuka walau kadang ketutup lagi.",4,Rinda Tiara
ChZDSUhNMG9nS0VJQ0FnTUNvaF9xMVpBEAE,gunung ciremai,,5,Nurul Imam
ChZDSUhNMG9nS0VJQ0FnTUNvaWJ1TWRnEAE,gunung ciremai,,5,Farhann firrr_
ChdDSUhNMG9nS0VJQ0FnTUNvenR5cGh3RRAB,gunung ciremai,,5,Rodin Apriadin
ChZDSUhNMG9nS0VJQ0FnTURJcV96Q0hnEAE,gunung ciremai,,5,Afut Gibran
ChZDSUhNMG9nS0VJQ0FnTURJdWRmN0RREAE,gunung ciremai,,5,Rian Alvian
ChdDSUhNMG9nS0VJQ0FnTUNJbGFMcGdRRRAB,gunung ciremai,,5,fikri maulana
ChdDSUhNMG9nS0VJQ0FnTUNJbnNDdW9RRRAB,gunung ciremai,,5,Alvin Rizq
ChZDSUhNMG9nS0VJQ0FnTUNJN3J2ZkpREAE,gunung ciremai,"Menakjubkan,,👍👍",4,Nur Saefudin80
ChdDSUhNMG9nS0VJQ0FnTURRODZhUjlBRRAB,gunung ciremai,Tafaquran,4,Il il maulana yusup Hamdani
ChZDSUhNMG9nS0VJQ0FnTURRd2J5dkx3EAE,gunung ciremai,,5,Aical Aical
ChZDSUhNMG9nS0VJQ0FnTURRd3IyS1V3EAE,gunung ciremai,Cukup tebal kabutnya,5,Indra A 098
