"city","countryCode","location/lat","location/lng","name","publishedAtDate","reviewContext/Aktivitas yang direkomendasikan","reviewContext/Area piknik","reviewContext/Biaya","reviewContext/Grup perjalanan","reviewContext/Jenis perjalanan","reviewContext/Jenis rute","reviewContext/Kesesuaian untuk anjing","reviewContext/Kesulitan","reviewContext/Opsi tempat parkir","reviewContext/Parkir","reviewContext/Sebaiknya buat reservasi","reviewContext/Sorotan hotel","reviewContext/Tahukah Anda tentang topik ini?","reviewContext/Tempat parkir","reviewContext/Toilet","reviewContext/Transportasi Umum","reviewContext/Waktu antrean","reviewContext/Waktu kunjungan","reviewContext/Waktu yang dihabiskan","reviewId","reviewOrigin","reviewUrl","reviewerId","stars","state","text","title","url"
,,"-7.3225","107.86","Imron Hujaji","2025-09-25T04:43:29.076Z",,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT21waWIySnBTVFE1YVRCb1RsUkZVa05WWVV0V1dGRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21waWIySnBTVFE1YVRCb1RsUkZVa05WWVV0V1dGRRAB!2m1!1s0x0:0xd94171a9a84909b8!3m1!1s2@1:CAIQACodChtycF9oOmpib2JpSTQ5aTBoTlRFUkNVYUtWWFE%7C0cpBWl3_BX9%7C?hl=id","105600859494789784777","5",,,"Gn. Cikuray","https://www.google.com/maps/search/?api=1&query=Gn.%20Cikuray&query_place_id=ChIJLbm6mVuvaC4RuAlJqKlxQdk"
,,"-7.3225","107.86","Gito hadi S","2025-09-25T00:21:22.472Z",,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT21aUVJXRkZTRlF6WkhaZmEwVjFkVWxUUzBSS05IYxAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21aUVJXRkZTRlF6WkhaZmEwVjFkVWxUUzBSS05IYxAB!2m1!1s0x0:0xd94171a9a84909b8!3m1!1s2@1:CAIQACodChtycF9oOmZQRWFFSFQzZHZfa0V1dUlTS0RKNHc%7C0cp7g1RAqxp%7C?hl=id","117285436391878527686","4",,,"Gn. Cikuray","https://www.google.com/maps/search/?api=1&query=Gn.%20Cikuray&query_place_id=ChIJLbm6mVuvaC4RuAlJqKlxQdk"
,,"-7.3225","107.86","Arrel zaid","2025-09-24T12:04:00.880Z",,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT204MlRFUXlVbEZhWmpGSFltZHVXVjlsYVdWdmJsRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT204MlRFUXlVbEZhWmpGSFltZHVXVjlsYVdWdmJsRRAB!2m1!1s0x0:0xd94171a9a84909b8!3m1!1s2@1:CAIQACodChtycF9oOm82TEQyUlFaZjFHYmduWV9laWVvblE%7C0coxskoSPMH%7C?hl=id","108539680046155359868","5",,,"Gn. Cikuray","https://www.google.com/maps/search/?api=1&query=Gn.%20Cikuray&query_place_id=ChIJLbm6mVuvaC4RuAlJqKlxQdk"
,,"-7.3225","107.86","Mpokkenny Yuniasih","2025-09-23T01:38:02.801Z",,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2s1WlIwaE5TMHh5VVdSRFRVdGljREJNY25ObE0wRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s1WlIwaE5TMHh5VVdSRFRVdGljREJNY25ObE0wRRAB!2m1!1s0x0:0xd94171a9a84909b8!3m1!1s2@1:CAIQACodChtycF9oOk5ZR0hNS0xyUWRDTUticDBMcnNlM0E%7C0coUbujlwIn%7C?hl=id","118258239116952672670","5",,,"Gn. Cikuray","https://www.google.com/maps/search/?api=1&query=Gn.%20Cikuray&query_place_id=ChIJLbm6mVuvaC4RuAlJqKlxQdk"
,,"-7.3225","107.86","Yosi Monica","2025-09-15T17:20:30.765Z",,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT21aRlN6SnRWRFJvVWxOYWN6aFFWVGN0T1dSSGFrRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21aRlN6SnRWRFJvVWxOYWN6aFFWVGN0T1dSSGFrRRAB!2m1!1s0x0:0xd94171a9a84909b8!3m1!1s2@1:CAIQACodChtycF9oOmZFSzJtVDRoUlNaczhQVTctOWRHakE%7C0cm3fThdbvF%7C?hl=id","105199959399403062482","4",,,"Gn. Cikuray","https://www.google.com/maps/search/?api=1&query=Gn.%20Cikuray&query_place_id=ChIJLbm6mVuvaC4RuAlJqKlxQdk"
,,"-7.3225","107.86","Irfan muhamad Hilmi","2025-09-06T22:37:30.991Z",,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2tJeWNqZHpZMUJpTmtkNFVHSm5jRkZ5WlhreGVuYxAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tJeWNqZHpZMUJpTmtkNFVHSm5jRkZ5WlhreGVuYxAB!2m1!1s0x0:0xd94171a9a84909b8!3m1!1s2@1:CAIQACodChtycF9oOkIycjdzY1BiNkd4UGJncFFyZXkxenc%7C0cjATev6T5b%7C?hl=id","102358631047645001896","5",,,"Gn. Cikuray","https://www.google.com/maps/search/?api=1&query=Gn.%20Cikuray&query_place_id=ChIJLbm6mVuvaC4RuAlJqKlxQdk"
,,"-7.3225","107.86","Ica Rahma","2025-09-03T17:50:32.490Z",,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2pWT05IazJZV2h5Y1ZGRGJEaG1SMGMyYldsbFkyYxAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pWT05IazJZV2h5Y1ZGRGJEaG1SMGMyYldsbFkyYxAB!2m1!1s0x0:0xd94171a9a84909b8!3m1!1s2@1:CAIQACodChtycF9oOjVONHk2YWhycVFDbDhmR0c2bWllY2c%7C0ci6zcSCY9h%7C?hl=id","116596803128487595936","5",,"Masyaallah atap Garut seindah inii,via tapak gerot duhh gak d kasih ampun sma tangganya,tapi it's okay terbayar sudahh lelahku iniiiii huhu,
Cuankiiinya enakkkkkk puolllll","Gn. Cikuray","https://www.google.com/maps/search/?api=1&query=Gn.%20Cikuray&query_place_id=ChIJLbm6mVuvaC4RuAlJqKlxQdk"
,,"-7.3225","107.86","Rehan Syah","2025-09-03T03:58:33.397Z",,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2xvd1JFVm9NR3B0UTJ4cFUyaG5jMVZGTUhoeGNGRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xvd1JFVm9NR3B0UTJ4cFUyaG5jMVZGTUhoeGNGRRAB!2m1!1s0x0:0xd94171a9a84909b8!3m1!1s2@1:CAIQACodChtycF9oOlowREVoMGptQ2xpU2hnc1VFMHhxcFE%7C0chvndMi0px%7C?hl=id","116337367159242850934","5",,"mantap","Gn. Cikuray","https://www.google.com/maps/search/?api=1&query=Gn.%20Cikuray&query_place_id=ChIJLbm6mVuvaC4RuAlJqKlxQdk"
,,"-7.3225","107.86","Eka Nurasyiah12","2025-08-26T06:54:15.887Z",,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT2xWeU1FSjZRaTA0ZVU5VWR6VjVUVXBSVDFwb1lrRRAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xWeU1FSjZRaTA0ZVU5VWR6VjVUVXBSVDFwb1lrRRAB!2m1!1s0x0:0xd94171a9a84909b8!3m1!1s2@1:CAIQACodChtycF9oOlVyMEJ6Qi04eU9UdzV5TUpRT1poYkE%7C0cfKcMorfWR%7C?hl=id","108552603418160078529","5",,,"Gn. Cikuray","https://www.google.com/maps/search/?api=1&query=Gn.%20Cikuray&query_place_id=ChIJLbm6mVuvaC4RuAlJqKlxQdk"
,,"-7.3225","107.86","Mas Jou","2025-08-25T11:33:30.012Z",,,,,,,,,,,,,,,,,,,,"Ci9DQUlRQUNvZENodHljRjlvT25kalJHaEhja2hNYTFwMFgyMWZSRkJrT0ZOWmFuYxAB","Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25kalJHaEhja2hNYTFwMFgyMWZSRkJrT0ZOWmFuYxAB!2m1!1s0x0:0xd94171a9a84909b8!3m1!1s2@1:CAIQACodChtycF9oOndjRGhHckhMa1p0X21fRFBkOFNZanc%7C0cf3c9-k2pC%7C?hl=id","106594479481424516217","3",,"Ui di Indonesia dengan Fifi yang tidak bisa lagi untuk mengetahui apakah ada yang bisa Anda","Gn. Cikuray","https://www.google.com/maps/search/?api=1&query=Gn.%20Cikuray&query_place_id=ChIJLbm6mVuvaC4RuAlJqKlxQdk"
