Topic,Count,Name,Representation,Representative_Docs
0,67,Sampah di Gunung,"['sampah', 'gunung', 'pendaki', 'pos', 'desa', 'puncak', 'alam', 'turun', 'jam', 'agung']","['april jalanya nanjak tanah hujan licin banget maghrib turun hujan memutuskan membangun tenda pos melanjutkan perjalanan sumit esok harinya sumit makanan berdasarkan cerita rute pos sulit jalanan akarnya sat kabutnya makanan berat disediakan warung lauk telor tempetahusambal warung seporsi segitu k makan warung nomor nasinya ful mateng hehe sambal menikmati brg tertingal warung sat sebulan dikirim ya ekspedisinya maf merepotkan edit diterima brg tertingalnya thanks estimasi perjalanan via apuy nanjak bc pos jam pos pos jam pos pos jam pos pos jam turun pos pos menit pos pos menit pos pos jam pos bc jam', 'pengalaman konyol teuing naon muncak poho urang cerita persiapan beres berangkat rumah teman sesampainya rumah eh epatu jebol lupa mengeceknya ya efek memakai sepatu teman pakai sendal sepatu jebol mematahkan semangat sesampainya pos bayangan perkebunan warga sendal teman copot alias pegat disitu sedih wkwk pakai sepatu nyeker sepatu ya kaki alas kaki patah semangat pos pos nyeker kaki mati pasangrahan champ prepare macem hujan merepotkan tenda rembes lupa menutup angin petir ting barabai ceuk sunda na mh berbincang bincang teman kopi hangat cemilan sembari menungu hujan petir reda tidur membicarakan besok sumit atack jam menunjukan terdengar orang orang bergegas sumit teman teman bangun lulungu heula lulungu sadar anjir tiris tiris kieu piraku kudu nyeker deui jaba tanah basah tas kahujanan cuaca tiris teu mawa jaket teu mawa calana hadeuh nasib memaksakan berangkat beralas kaos kaki tiris mh tiris kumaha lakonan weh ka puncak cireme ngan sunrise na teu menang kahalangku kabut teunanaon orang puncak mengabadikan sekian salam lestari wa', 'desa bantaragung zaman kirakira gunung keadan hutan belantara demang sultan pejabat desa koleberes desa sindangpano setuju memperluas daerahnya sebelah timur mendirikan desa dusun bernama desa babakan keboncau dusun kawungluwuk dusun malarhayu arti babakan keboncau ditanami khusus cau pisang kawungluwuk ditanami khusus pohon kawung gula desa babakan keboncau kekuasan desa koleberes kelaman desa babakan keboncau terserang musibah garongarong maling mengangu ketentraman masyarakat sehinga korban harta nyawa binatang buas macan menganas penduduk akibatnya keadan masyarakat aman mengatasi keadan pejabat sultan berembuk mencari jagojago umumkan barang mengalahkan garongarong macanmacan mengamankan keadan masyarakat kuwu kepala desa daerah maksud pangeran timbang pinayungan kuwu nama desa babakan keboncau diganti desa batara agung pangeran timbang pinayungan kuwu ganguan keamanan atasi kuwu pangeran nitibaya kuwu belas nama desa batara agung diganti desa bantar agung arti batara agung batara dewa agung agung bantar agung bantar bertapa orangorang agung petunjuk sultan kasepuhan cirebon utarakan tradisi adat rabiul maulud keraton kesepuhan keraton kanoman menungu kiriman cau pisang gula kawung masyarakat desa bantar agung sesajen leluhur keraton gula kawung pisang daerah pakai sesajen kecuali desa bantar agung']"
1,53,Biaya Parkir Mahal,"['ribu', 'parkir', 'mobil', 'masuk', 'orang', 'tiket', 'bayar', 'mahal', 'uang', 'biaya']","['tiket masuk ribu tiket kendaran ribu parkir ribu biaya dikeluarkan', 'bagus rada mahal brisik motor lalang tiket orang ribu tiket mobil ribu eh bayar parkir ribu mandi air panas bayar ribu', 'pas pintu masuk bayar orang ribu mobil ribu sat parkir kena bayar parkir mobil ribu wow']"
2,52,Gunung Angker,"['gunung', 'menaklukan', 'angker', 'meletus', 'seram', 'mendaki', 'jalur', 'besari', 'apapa', 'hambatan']","['menaklukan gunung menaklukan gunung fiersa besari', 'gunung sembarang gunung gunung mitosnya', 'gunung sampah']"
5,34,Tiket Mahal,"['tiket', 'tiketnya', 'mahal', 'harga', 'masuknya', 'masuk', 'kawah', 'wisata', 'kemahalan', 'pelari']","['tiketnya mahal', 'mahal tiketnya', 'tiket masuk mahal']"
