Topic,Count,Name,Representation,Representative_Docs
45,43,45_air_sumber_kolam_panas,"['air', 'sumber', 'kolam', 'panas', 'terjun', 'melimpah', 'weuleuh', 'bgtz', 'subscribe', 'tetes']","['asri damai tentram suryakencana kenangan terlupakan disana rindu mata air suryakencana segar meminum langsung mata airnya mengalahkam produk kemasan air mineral yuk jaga alam kelak cucu menikmatinya', 'jalur pendakian gunung lengkap dibanding jalur air panas air terjun telaga tanjakan setan', 'kandang batu sumber air segar air terjun bernama panca weuleuh air terjun panca weuleuh bernama kandang badak persingahan simpang sumit puncak gpangrango']"
46,42,46_atap_barat_jawa_tertingi,"['atap', 'barat', 'jawa', 'tertingi', 'juara', 'jos', 'mandakinya', 'mantaptwa', 'semerunya', 'memukau']","['indah jawa barat', 'atap jawa barat terbaik', 'atap garut salah atap tertingi jawa barat']"
47,42,47_hiking_fun_favorite_best,"['hiking', 'fun', 'favorite', 'best', 'chalenging', 'peghobi', 'stif', 'suit', 'course', 'favoritku']","['hiking jam', 'hiking indah banget', 'hiking bagus']"
48,42,48_manik_puncak_jam_lihat,"['manik', 'puncak', 'jam', 'lihat', 'jalur', 'poto', 'hutan', 'ketemu', 'puncaknya', 'kangen']","['gunung salah gunung alami dibanding gunungunung trek pendakianya gunung jalur pendakianya gunung gedepangrango jalan setapak berbatu tersusun rapi gunung kental cerita mistisnya memiliki jalur pendakian ekstrim sat musim hujan jalur jalur aliran air pepohonan rimbun seringkali menutup jalur pendakian mencapai puncak manik jalur melewati sisi jurang foto mendaki gunung berharap pemandangan moment sunrise gunung terkenal sunrisenya puncak gunung terkenal puncak manik ditumbuhi pepohonan menjulang tingi gunung cenderung memiliki puncak lapanglega terlepas jalur pendakian ekstrim cerita mistis kental lainya gunung halhal menarik kawah ratu memanjakan kulit hangat belerang pemandangan pegunungan memukau hutan pinus menentramkan air terjun curug gunung air mata air gunung sumber air perusahan air mineral ternama perusahan menjaga kebersihan ketersedian sumber airnya ulas gunung gunung favorit apapun cerita mengambarkan betapa menariknya gunung kunjungi dakilah gunung mendapatka pegalaman ps mengotori gunung sampah bawa buanglah sampah tempatnya sampah', 'gunung cantik keren mistis rasakan begeto menjejakan kaki subhanalah ciptan alah pemandangan indah bangetslautan bukit batunya luas melebar menjulang tingi gagah penasaran dicampur daerah pepohonan cantik kehijauanya kepulan asap belerang kawah kiri jln dakian arah hutan mati jatuh cinta lautan awan pagi menjelang sunrisenya menambah keindahan gunung papandayansmuanya disanatracking pos pondok seladah ckp ramah pendaki pemulakurang lbh jam pos istirahat plus photo smua spot bagus malam qta beruntung bs lihat aurora skala tracking turun hutan mati menyuguhkan pemandangan memukaukalian perpaduan pemandangan grand canyon hutan belantara terbelah merekah indah alam terbentang luas disisi kiri perjalanansdgkan sisi kanan bukit batu kerenwuih sunguh kebeli rasanyasetelah melewati track kanan kiri hutan jalan ckp curam hrs extra hati licin batu kerikil pasir campur tanah dedaunanselain melewati curug keren nun kananyg membatasi track hutan qta curug lembah jurang bebatuan pohon bs jelasrekomen bgts hrs dtg lihat sdr gunung papandayansaya sdr pingin bgts blk lg kesana lwt area tracking lainya', 'berdasarkan sejarah hutan mati gunung letusan maha dahsyat gunung ratusan silam kirakira letusan tangal agustus keadan hutan mati identik angker nan menyeramkan lihat sudut pandangan berbeda ratusan pohon jenis cantigi berwarna hitam tumbuh diatas material lumpur kawah gunung sehinga menciptakan kesan eksotis menakjubkan lokasi wisata bersebelahan area camping ground pondok saladah bawahnya kawah airnya mengalir berhenti dilanjutkan jam perjalanan hiking tegal alun padang savana dimana edelweis tumbuh subur aroma belerang menyengat indra penciuman berjalanjalan disekitar kawasan hutan sensasi tersendiri pengunjung mengabadikan setia momen berswafoto temanteman memanfatkan pemandangan dead forest eksotis berselfie ria mingu libur keindahan ramai disaksikan pengunjung domestik bandung garut tasikmalaya ciamis banjar bekasi jakarta kerap kali wisatawan mancanegara menyempatkan mengunjungi lokasi wisata wisata hutan garut karamat wangi kecamatan cisurupan kabupaten garut provinsi jawa barat kode pos lokasi wisata pusat kota garut jaraknya kilometer tempuh jam berkunjung hutan mati indah pas matahari terbit menyaksikan keindahan ciptan alah swt indah hiking santai jam parkiran hutan mati hutan mati melanjutkan eksplore gunung tegal alun hamparan bunga edelweis jam hiking persiapkan fisik mental mengekplore sudut keindahan alamnya lupa bawa logistik sekedar jaga jaga haus lapar jalan area tersedia warung warung']"
49,41,49_pemandangan_indah_estetik_pandangan,"['pemandangan', 'indah', 'estetik', 'pandangan', 'beautiful', 'pos', '', '', '', '']","['pemandangan indah', 'pemandangan indah', 'pemandangan indah']"
50,39,50_putri_kopi_via_cibodas,"['putri', 'kopi', 'via', 'cibodas', 'pia', 'salabintana', 'kebuka', 'sumit', 'apa', 'jalur']","['gunung disarankan jalur gunung putri cibodas treknya', 'mendaki jalur gunung putri tracknya lumayan', 'cocok pemula jalur gunung putri']"
51,38,51_basecampnya_basecamp_base_nyaman,"['basecampnya', 'basecamp', 'base', 'nyaman', 'ramah', 'enakeun', 'indahviewnya', 'jah', 'jimy', 'responsif']","['basecamp pendakian bersih nyaman', 'ramah orang basecampnya mantap', 'nyaman basecampnya']"
52,38,52_pemandanganya_indah_pandanganya_indahnya,"['pemandanganya', 'indah', 'pandanganya', 'indahnya', 'kelihatanya', 'nian', 'kebayang', 'gan', 'awanya', 'cantik']","['indah pemandanganya', 'indah pemandanganya', 'pemandanganya indah']"
53,38,53_toilet_tiket_bersih_harga,"['toilet', 'tiket', 'bersih', 'harga', 'warung', 'mahal', 'fasilitas', 'tersedia', 'mushola', 'masuk']","['pos cigowong jalur pendakian gunung via palutungan jarak basecamp jam perjalanan posnya luas fasilitas lengkap shelter mushola dilengkapi karpet perlengkapanya sumber air bersih toilet camp area tertata rapi toilet bersih menjaga', 'pemandangan bagus fasilitasnya lengkap warung toilet jalur pendakian rapih sampah penyewan alat kemah warga lokal penjual makanan warungnynya ramah ramah keluhanya harga tiket masuk rada mahal dibandingkan gunung sesuai fasilitas tersedia semoga harga sekian depanya dikembangkan menjaga kelestarian alam', 'rapih bersih ya pengelolan pengen gunung versi mudah mewah solusi perjalanan pos istirahat wc warung pos camp goberhoet pondok saladah wc warung wcnya bersih terawat harganya sih tiket masuk terbilang mahal dibanding gunung tiket mahal terbayarkan fasilitas bagus']"
54,35,54_natural_alam_nature_jaga,"['natural', 'alam', 'nature', 'jaga', 'alamnya', 'alami', 'pencinta', 'mari', 'back', 'dikemegahan']","['destinasu alam natural', 'keadan lingkunganya natural mengugah penciptanya', 'keren natural']"
