Topic,Count,Name,Representation,Representative_Docs
87,25,87_pemula_cocok_pendaki_aman,"['pemula', 'cocok', 'pendaki', 'aman', 'nge', 'nga', 'asyik', 'kawahnya', 'god', 'pas']","['cocok pendaki pemula', 'cocok pendaki pemula', 'cocok pendaki pemula']"
88,24,88_camp_emng_base_tergolong,"['camp', 'emng', 'base', 'tergolong', 'btngp', 'campser', 'gratisnya', 'geng', 'bacecamp', 'menikmatitidakuntukmerusak']","['recomended base camp pendakian orangnya ramah hatur nuhun trek pendakianya manga raosan', 'jarak camp pos emng pos lezat adem tukang warungnya asik buah asem gratisnya', 'olahraga liburan mantep yekan temen geng nge camp melelas penat kerutinitas sprti tupa berlibur menikmatitidakuntukmerusak']"
89,24,89_ramah_warganya_orangnya_gila,"['ramah', 'warganya', 'orangnya', 'gila', 'petugasnya', 'nyaman', 'penjaganya', 'pelayananya', 'tempatnya', 'sekaliorangnya']","['bagus warganya ramah', 'pelayananya bagus warganya ramah ramah', 'pemandanganya indah warganya ramah ramah']"
90,24,90_pokoknya_mantap_mantaplah_lahseru,"['pokoknya', 'mantap', 'mantaplah', 'lahseru', 'cepat', 'mantablah', 'poko', 'aslinya', 'move', 'tungu']","['pokoknya mantap', 'pokoknya mantap', 'mantap pokoknya']"
91,24,91_keren_gunungnya_gaenaknya_awantiket,"['keren', 'gunungnya', 'gaenaknya', 'awantiket', 'mancurny', 'kutub', 'kerenkata', 'perfact', 'singing', 'parango']","['gunungnya keren', 'keren gunungnya', 'gunungnya keren']"
92,23,92_menantang_tantanganya_tantangan_tantangany,"['menantang', 'tantanganya', 'tantangan', 'tantangany', 'alamiada', 'tantanganharus', 'utanyamenegangkan', 'tantanganyapalagi', 'disingahi', 'inspirasi']","['menantang', 'menantang', 'menantang']"
93,22,93_sejuk_seger_pemandanganya_enel,"['sejuk', 'seger', 'pemandanganya', 'enel', 'biasaeksotis', 'seta', 'indah', 'nian', 'ijo', 'kuning']","['pemandangan indah sejuk', 'sejuk pemandanganya indah', 'pemandanganya indah sejuk']"
94,22,94_pemandanganya_bagus_menarik_pemandangan,"['pemandanganya', 'bagus', 'menarik', 'pemandangan', '', '', '', '', '', '']","['pemandanganya bagus', 'pemandanganya bagus', 'pemandanganya bagus']"
95,22,95_awan_sni_surga_diatas,"['awan', 'sni', 'surga', 'diatas', 'badai', 'negeri', 'embum', 'anjim', 'bencana', 'badainya']","['surga diatas awan', 'puncak diatas awan', 'pemandangan awan']"
96,21,96_sejuk_kota_pegunungan_gunungnya,"['sejuk', 'kota', 'pegunungan', 'gunungnya', 'esmasih', 'emazing', 'setahun', 'vg', 'wodlandkuningan', 'melintasimelewati']","['tempatnya mengagumkan sejuk banget wow emazing gunung bagus keren sejuk dipandang top banget wisata garut', 'perjalanan nyaman rute mudah lalui jalan aspal mulus suasana sejuk disertai pemandangan indah layar gunung lokasi wodlandkuningan', 'excelent getaway jakarta chalenging air panas refreshing locals friendly although litle higher gunung scenery impresive must chose sumit']"
97,21,97_menguras_tenaga_pendakian_amatir,"['menguras', 'tenaga', 'pendakian', 'amatir', 'okpuas', 'nyalumayan', 'subang', 'ngaco', 'ciater', 'digemari']","['pendakian menguras tenaga karna trek ekstrim', 'track pendakian menguras tenaga', 'luarbiasa trek nyalumayan menguras tenaga puncaknya']"
98,21,98_keluarga_ajaka_keheningan_juganaik,"['keluarga', 'ajaka', 'keheningan', 'juganaik', 'swis', 'nasinal', 'didagi', 'cocok', 'swasta', 'wisata']","['gunung indah cocok membawa keluarga', 'gunung wisata keluarga', 'wisata gunung keluarga']"
99,21,99_menantang_jengot_penyuka_cita,"['menantang', 'jengot', 'penyuka', 'cita', 'medanya', 'kelas', 'tantangan', 'tracking', 'tapak', 'bertemu']","['gurung via kiara jengot favorit trek trek extrem menantang kemampuan mendaki pendaki selamat mencoba via kiara jengot', 'perjalanan membuatku berfikir keras susahnya mendaki melambangkan kehidupan mencapai cita cita mudah rintangan coban lalui', 'nyaman kelas penyuka tantangan kelas guide ramah perjalanan melelahkan terlewati terheran perjalanan tempuh jalan mendaki menurun']"
100,21,100_terima_pelayanan_kasih_pelayananya,"['terima', 'pelayanan', 'kasih', 'pelayananya', 'gogle', 'iwan', 'xsama', 'pesonamu', 'sekuritinya', 'rs']","['terima kasih iwan rental mobil cirebon pelayanan memuaskan', 'bagus pemandanganya adem warung terima kasih', 'pengalaman terima kasih']"
101,20,101_surganya_terahir_melayani_pendaki,"['surganya', 'terahir', 'melayani', 'pendaki', 'sip', 'berteduh', 'mendaki', 'membuatku', 'surga', 'pendakian']","['pendakian terahir', 'surganya pendaki', 'surganya pendaki']"
102,20,102_semoga_terjaga_kelestarianya_amin,"['semoga', 'terjaga', 'kelestarianya', 'amin', 'realisasi', 'ayang', 'kesini', 'berharap', 'segi', 'planet']","['semoga kesini', 'semoga kesini', 'semoga kesini']"
103,20,103_bonus_wkwkw_selamat_minim,"['bonus', 'wkwkw', 'selamat', 'minim', 'bonusnya', 'treknya', 'gmana', 'bonusnyatapi', 'bonuslandai', 'nyeruduk']","['puncak bonus tujuan utama pulang selamat', 'bonus jalur palutungan', 'treknya bonus']"
104,20,104_cimalati_bunder_goa_reungit,"['cimalati', 'bunder', 'goa', 'reungit', 'kandang', 'badak', 'start', 'curug', 'melewati', 'via']","['subhanalah kali mendaki gunung jalur palutungan buka tenda pesangrahan peralatan perlengkapan pendakian tingal ber dikawal ayah membawa logistik minum menempuh perjalanan jam melewati apuy goa walet sampailah puncak gunung indah megah inshalah mendaki gunung', 'goa walet goa terletak ketingian mdpl terletak gunung pendaki dijadikan persingahan beristirahat melanjutkan perjalanan puncak gunung goa walet resapan air persedian air pendaki keberadan airnya tergantung cuaca mendaki gunung harap membawa persedian air', 'pos pendakian gunung lokasi legal mendaki gunung via cidahu via cimalati via gunung bunder pasir reungit sat ramai dikunjungi via cimalati gunung bunder jalur parah jalur via pasir reungit jalur cidahu via gunung bunder tujuan kawah ratu via cimalati lezat pendaki']"
105,19,105_top_markotop_mantapjalurnya_nyeselkalau,"['top', 'markotop', 'mantapjalurnya', 'nyeselkalau', 'poinya', 'mntul', 'majakuning', 'puncak', 'tuntas', 'ampe']","['top poinya jawabarat', 'top markotop', 'top markotop']"
106,19,106_pemula_bagus_cigowong_berbatunya,"['pemula', 'bagus', 'cigowong', 'berbatunya', 'kisruh', 'tempatnyaenak', 'rintanganya', 'cocok', 'tracknya', 'jahat']","['tempatnya bagus cocok hiking pemula tanjakan terjal', 'cocok pendaki pemula treknya trlalu jahat cinta heheh', 'cocok pemula tracknya mudah rintanganya tanjakan omon terjal banget']"
107,19,107_hujan_guyur_diguyur_badai,"['hujan', 'guyur', 'diguyur', 'badai', 'asyikapa', 'pendakiam', 'damp', 'juaranya', 'licinkabut', 'hujanmasak']","['hujan hujan kesini malam menyerah hati puncak', 'tempatnya bagus sayang kesana kena badai diguyur hujan pendakiam', 'pos mendekati magrib hujanya belom reda track basah guyur hujan lumayan']"
108,19,108_tertingi_jawa_barat_aktifdengan,"['tertingi', 'jawa', 'barat', 'aktifdengan', 'lingkunga', 'terkategori', 'done', 'impian', 'baratdan', 'temen']","['gunung tertingi jawa barat', 'gunung tertingi jawa barat', 'gunung tertingi jawa barat']"
109,18,109_nya_bagus_ok_tmpatnya,"['nya', 'bagus', 'ok', 'tmpatnya', 'akurat', 'maju', 'sip', 'okay', 'bagusnya', 'euy']","['nya bagus', 'nya bagus', 'ok sip tmpatnya']"
110,18,110_pemula_beginer_mantep_first,"['pemula', 'beginer', 'mantep', 'first', 'disni', 'tek', 'sk', 'tok', 'enakeun', 'ngadem']","['mantap pemula', 'mantap pemula', 'pemula']"
111,18,111_masjid_tersedia_parkir_tanda,"['masjid', 'tersedia', 'parkir', 'tanda', 'fasilitas', 'signal', 'warung', 'luas', 'klu', 'terawat']","['parkiran luas masjid nyaman bersih rekreasi keluarga', 'disuguhkan kabut tebal berujung hujan disarankan memakai jaket tebal membawa jas hujan treknya landai bagus pemula harga sesuai fasilitas biaya masuk rborang parkir rbmotor wekday biaya parkir disediakan fasilitas penitipan barang helm sehinga barangbarang aman hujan jalan lokasi bagus dilengkapi tanda membantu pengendara menghadapi tanjakan turunan curam fasilitas toilet tersedia memadai masjid beribadah pos fasilitasnya memadai warung toilet mushola harganya mahal fasilitas disediakan memudahkan wisatawan pendaki', 'pemandanganya indah sejuk cocok pendaki pemula fasilitas lengkap toilet masjid tersedia jajanan tersedia area parkir luas']"
112,17,112_tenda_bp_padet_basecamp,"['tenda', 'bp', 'padet', 'basecamp', 'tas', 'permit', 'opik', 'lingardjati', 'camping', 'reach']","['camp utama camp situasi mendesak mendirikan tenda tenda sumber air disebelah kanan arah datangnya pendaki turun kebawah sumber air sumber air panas disebelah kiri arah datangnya pendakian jalan turun jarak dibandingkan sumber air dingin dipos kandang batu pohon pangkalnya rapuh pendaki diharap waspada terlena area datar disekitar pohon disat curah hujan tingi angin kencang', 'fantastic place stuning views top mount days night permit cibodas gate cost rp foreigners plus rp compulsory medical check takes min could potentialy go without permit start hike early finish late guards entrance arent always id say pm get realy crowded wekend tok us around h hours reach hot springs entrance mim reach camp site betwen two volcanoes hour reach mount trail stepest hike side lot liter shelters campsite fun', 'pos pendakian puncak gunung ceremai jalur lingasana layak transit pendaki tersedia fasilitas mck bersih barak tidur beratap dinding warung bp opik pos tiket mushola camping ground spot foto pemandangan indah parkir luas area bersih penjaganya ramah keterangan seputar lokasi pendakian penjaga merangkap ranger guide tim sar pengunjung diharapkan mematuhi peraturan ditetapkan mengikuti arahan ranger disana pos lokasinya bersih tempatempat sampah camping mendaki kekurangan perlengkapan utama tenda sleping bag matras tidur langsung menyewa harga relatif murah udara dingin musim kemarau pepohonan hutan heterogen batas taman nasional gunung ceremai suara satwa dilindungi burung tupai monyet beruntung pagi musim monyet bergerombol seberang lembah lokasi dicapai jalan raya lingardjati arah jalan raya cirebon kuningan masuk jalan lingardjati lurus sd desa lingasana jalan mentok pos pendaki berencana kegiatan pendakian jalur menghubingi bp taufiq opik wa bp adi sunadi wa beliau petugas ranger resmi disana']"
113,17,113_cakep_cakepnya_ekstrim_cakepbeda,"['cakep', 'cakepnya', 'ekstrim', 'cakepbeda', 'cakepajib', 'gedecocok', 'cipran', 'cakeub', 'profesionalpegawai', 'barangnya']","['pemandangan cakep betah puncaknya', 'cakep banget dinginya', 'cakep cakep barangnya']"
114,17,114_pemandanganya_oke_pemandngan_bagus,"['pemandanganya', 'oke', 'pemandngan', 'bagus', 'kelihatanya', 'ok', 'super', 'god', 'pemandangan', '']","['bagus pemandanganya', 'bagus pemandanganya', 'bagus pemandanganya']"
115,17,115_kawan_adit_teman_bersahabat,"['kawan', 'adit', 'teman', 'bersahabat', 'kebersaman', 'curva', 'terbayarklu', 'penambah', 'sensei', 'tertawa']","['asiknyo kesinj sl bareng teman nganter sensei jepun', 'keseruan kawan kawan sat bagas', 'hebat kesana adit kawan adit adit tolong pas jatuh z']"
116,17,116_pemula_cocok_kren_beginers,"['pemula', 'cocok', 'kren', 'beginers', 'perfect', 'bagus', 'lezat', 'mantap', '', '']","['cocok pemula', 'cocok pemula', 'cocok pemula']"
117,17,117_tempatnya_bagus_pkoknya_tempata,"['tempatnya', 'bagus', 'pkoknya', 'tempata', 'sejukindah', 'ok', 'baget', 'monyet', 'lokasi', 'suasanya']","['bagus banget tempatnya', 'bagus banget tempatnya', 'bagus banget tempatnya']"
118,17,118_love_place_loved_ambiance,"['love', 'place', 'loved', 'ambiance', 'like', 'country', 'loks', 'tembus', 'always', 'land']","['love place', 'love place', 'love place']"
119,17,119_bagus_gunungnya_gunugya_gunungnyabgus,"['bagus', 'gunungnya', 'gunugya', 'gunungnyabgus', 'pergununganya', 'nyam', 'hayang', 'pemadangan', 'coy', 'sawah']","['bagus gunungnya cape mendakinya ha', 'gunugya bagus kemah pergununganya bagus', 'bagus gunungnya']"
120,16,120_keren_pemandanganya_pict_abis,"['keren', 'pemandanganya', 'pict', 'abis', 'another', 'lok', 'ig', 'slamet', 'pemandangan', 'ajib']","['keren banget pemandanganya', 'keren banget pemandanganya', 'keren banget pemandanganya']"
121,16,121_camping_camp_jib_favorit,"['camping', 'camp', 'jib', 'favorit', 'kenal', 'memanjang', 'suryakencananya', 'sejuknya', 'last', 'bismilah']","['camping ground puncak gunung lokasinya luas savana memanjang', 'kenal gunung gunung campnya tempatnya jib camp', 'suka banget last experience berasa kesan gunung sejuk tenang next time bismilah camping disana']"
122,16,122_mantap_pemandanganya_terganti_undah,"['mantap', 'pemandanganya', 'terganti', 'undah', 'kren', 'na', 'mantaf', 'pemandangan', 'melelahkan', 'ya']","['mantap pemandanganya', 'pemandanganya mantap', 'mantap pemandanganya']"
123,16,123_pasar_pekan_wekend_rame,"['pasar', 'pekan', 'wekend', 'rame', 'sabtu', 'dikala', 'long', 'mingu', 'pasaran', 'banjarwangi']","['ramai sabtu mingu long wekend', 'rame pasar puncak orang jualan', 'mendaki pekan pasar malam']"
124,16,124_masker_bau_baunya_belerang,"['masker', 'bau', 'baunya', 'belerang', 'buf', 'menyengat', 'pakai', 'bawa', 'lupa', 'apa']","['nympe ksini kabutnya huhu keliatan sma mata tlnjang kawahnya mendaki disekitar kawah sbisa pke masker buf ya krna bau blerangnya mnyengat sma jgn lupa bwa air mineral', 'lupa bawa masker kamera wajib', 'gunung berapinya aktif kawahnya aktif apa-apa kesini masker menyengat baunya saran tetep bawa masker tau pas angin menyengat baunya']"
125,16,125_hutan_menikmat_matidan_mantef,"['hutan', 'menikmat', 'matidan', 'mantef', 'lembabnya', 'tumbangada', 'nh', 'edelweis', 'melestarikanya', 'obstacle']","['gunung terletak daerah sunda pepohonan hijau rimbun patut menjaga melestarikanya', 'trip tracking mountain terdekat jakarta kangen aroma hutan lembabnya tanah tingal cus jumat malem fasilitas keamanan lengkap', 'menikmat hutan rimba nh gunung mantap dh tingi tracknya sadis landay']"
126,15,126_pengalaman_bagiku_papandayana_ciremaidan,"['pengalaman', 'bagiku', 'papandayana', 'ciremaidan', 'mengembirakan', 'menyenagkan', 'biarpun', 'keramahan', 'terlupakan', 'rekan']","['petualangan gunung keramahan petugasnya mengesankan bagiku', 'pengalaman terlupakan pepohonan bunga edelweis gunung papandayana', 'x gunung via palutungan via trisakti sadarehe pengalaman mengembirakan']"
127,15,127_mount_park_national_hikers,"['mount', 'park', 'national', 'hikers', 'sense', 'chalenging', 'surounding', 'breathtaking', 'visitors', 'beauty']","['mount elder twin majestic peak ofering chalenging yet rewarding hiking experience step slopes diverse ecosystems lush rainforests alpine meadows make favorite among adventure sekers reaching sumit triumph rewarded breathtaking panoramic views surounding mountains valeys presence iconic alunalun surya vast open space sumit ads alure demanding physical preparation mount gedes natural beauty sense acomplishment make mustvisit experienced hikers', 'mount stuning volcanic mountain located west java indonesia mountain popular destination adventurous hikers want experience beautiful landscapes chalenging terain region trail sumit mount welmaintained hikers expect encounter range diferent environments journey dense forests rocky ridges pemandangan sumit mountain truly breathtaking ofering panoramic views surounding countryside ascent mount fainthearted wel worth efort chalenge hike sumit take anywhere six ten hours depending fitnes level route chose along way wil encounter variety flora fauna including monkeys birds various species plants several rest points along trail hikers stop catch breath take stuning scenery one apealing aspects mount sense acomplishment comes reaching sumit hike physicaly demanding also mentaly chalenging requiring focus determination perseverance hikers make top mountain rewarded sense achievement experiences match loking memorable adventure indonesia mount excelent choice', 'mount national park amazing destination love nature outdor activities located west java indonesia national park covers large area aproximately hectares park home various species flora fauna including javan leopards barking der javan gibons visitors also explore parks waterfals hot springs scenic trails park welmaintained visitors enjoy safe clean environment exploring natural wonders area one highlights mount national park hiking trail leads sumit mount hike chalenging reward worth visitors enjoy stuning views surounding mountains valeys sumit along way hikers wil encounter various vegetation zones including subalpine montane forests trail welmarked hikers enjoy beauty forest sound birds wildlife overal hike great adventure love outdors want chalenge another great activity mount national park camping park several camping areas visitors set tents enjoy night stars camping areas clean welmaintained visitors enjoy peaceful environment park adition camping visitors also enjoy activities fishing bird watching picnicking park great place families friends spend time together create memorable experiences conclusion mount national park mustvisit destination nature lovers outdor enthusiasts park ofers variety activities cater diferent interests hiking camping fishing bird watching visitors enjoy safe clean environment exploring natural wonders area whether youre loking adventure relaxation mount national park something everyone']"
128,15,128_liburan_sekeluargapacar_asrienak_baguscocok,"['liburan', 'sekeluargapacar', 'asrienak', 'baguscocok', 'sep', 'mising', 'mengisi', 'never', 'asik', 'gaes']","['liburan alam kesini', 'cocok liburan', 'bagus liburan']"
129,15,129_selfy_budya_alamnyabagus_mahmud,"['selfy', 'budya', 'alamnyabagus', 'mahmud', 'sunguh', 'alami', 'nature', 'pemandangan', 'doyan', 'tema']","['sunguh menakjubkan pemandangan indah budya alam', 'asik berekreasi tema outdor ditambah pemandangan indah alami', 'pemandangan indah cocok mahmud doyan selfy alam']"
130,15,130_parkir_jarak_elevasi_parkiran,"['parkir', 'jarak', 'elevasi', 'parkiran', 'menit', 'terdekat', 'poto', 'kecewalahan', 'luaskawah', 'luasbanyak']","['pemandangan indah lelah menempuhnya kondisi wisata sayang listrik masuk kesana siapkan power bank stok charge hp kamera tarif parkir sukarela parkiran', 'masyaloh pemandangan super duper keren ngak lawan perjuangan jarak parkir elevasi gain meter parkir menit nyampe kecepatan lambat poto poto', 'keindahan tersembunyi wilayah garutjarang tereksposluar pemandangan keindahanyadijamin kecewalahan parkir luastaman edelweis luaskawah mempesonaudara sejukpasti capeknya terobaticukup jl raya cisurupan menit roda']"
131,15,131_hiruk_kota_pikuk_kehidupan,"['hiruk', 'kota', 'pikuk', 'kehidupan', 'atap', 'jabar', 'aso', 'metropol', 'ibuku', 'berlelahlelah']","['tmpat bersantai selasela hiruk pikuk kota', 'cok pngn liburan penat hiruk pikuk kota', 'pelarian terbaik hiruk pikuk kehidupan kota berlelahlelah membuang kelelahan kejamnya kota terindah mengadu mendekati tuhan ibuku pas mengembalikan semangat juang kehidupan']"
132,15,132_pemandanganya_pemandangan_jos_,"['pemandanganya', 'pemandangan', 'jos', '', '', '', '', '', '', '']","['pemandanganya', 'pemandanganya', 'pemandanganya']"
133,15,133_membantu_abis_info_ak,"['membantu', 'abis', 'info', 'ak', 'semuainformasi', 'jelasdtg', 'informasinya', 'dianter', 'pengetahuan', 'termudah']","['membantu', 'membantu', 'semuainformasi gng terima jelasdtg plg dianter nuhun ak']"
134,15,134_ngadem_cocok_akuratany_luang,"['ngadem', 'cocok', 'akuratany', 'luang', 'ekspektasi', 'ekspetasi', 'sesuai', 'tingkatkan', 'bersantai', 'mengisi']","['cocok mengisi luang', 'cocok ngadem', 'cocok ngadem']"
135,14,135_traveling_mengesankan_perjalanan_perjalananya,"['traveling', 'mengesankan', 'perjalanan', 'perjalananya', 'lubangnya', 'momenya', 'bwt', 'unforgetable', 'wisatanya', 'journey']","['perjalanan mengesankan', 'mantap bro traveling', 'bwt traveling mantap']"
136,14,136_puas_puncak__,"['puas', 'puncak', '', '', '', '', '', '', '', '']","['', 'puncak', 'puas']"
137,13,137_sejuk_alamnya_nan_alami,"['sejuk', 'alamnya', 'nan', 'alami', 'kekacauanmantap', 'hepi', 'bolak', 'bentang', 'terjaga', 'primadona']","['sejuk indah pemandangan alamnya', 'pemandanganya alami nan sejuk', 'indah nan sejuk alami']"
138,13,138_kencana_surya_timur_alun,"['kencana', 'surya', 'timur', 'alun', 'savana', 'barat', 'rindu', 'alunalun', 'mencapai', 'jugak']","['mengambarkan alun alun surya kencana rindu kangen pengen kesana yah arah barat campnya airnya beuh nyegerin il son surya kencana', 'rindu berat kesini takut rindukarena rindu seumur hidup alunalun surya kencana love surya kencana savana terbaik jawa barat menurutku kali kesini sunguh rela suasana asrimu', 'pos nama alun alun timur sisi timur surya kencana gerbang savana luas vegetasi hutan perjalanan vegetasi hutan alam jenis tau jenisnya heterogen perjalanan menanjak curam diawal surya kencana trek datar mencapai pos']"
139,13,139_liburanya_agof_petualangan_balance,"['liburanya', 'agof', 'petualangan', 'balance', 'hidup', 'ruar', 'pasilitas', 'terbatas', 'ane', 'muncak']","['pengalaman berkesan hidup muncak gunung', 'gunung penuh perjalanan hidup ane ruar', 'gunung asik muncak liburanya terbatas']"
140,13,140_tembatnya_nagihsuasananya_terlahir_persyaratanya,"['tembatnya', 'nagihsuasananya', 'terlahir', 'persyaratanya', 'berkesan', 'dirindukan', 'habisnya', 'nyantai', 'asik', 'membuatku']","['nagihsuasananya', 'tembatnya', 'terlahir']"
141,13,141_nyaman_sejuk_geoparknya_persingahan,"['nyaman', 'sejuk', 'geoparknya', 'persingahan', 'refresh', 'polusi', 'nuansa', 'mengesankan', 'tenang', 'dingin']","['sejuk nyaman', 'sejuk nyaman', 'sejuk nyaman']"
142,13,142_coba_wajib_gakan_lumayansilahkan,"['coba', 'wajib', 'gakan', 'lumayansilahkan', 'pemulasip', 'ntap', 'gambarnya', 'manteplah', 'sob', 'trakingnya']","['bagus deh wajib coba', 'seru wajib coba', 'pemula wajib coba']"
143,12,143_damai_kedamaian_pengemar_tenang,"['damai', 'kedamaian', 'pengemar', 'tenang', 'ketenangan', 'keramah', 'ketenanganmainya', 'tamahan', 'sejuksuasana', 'ketenaran']","['sejuk damai dipenuhi keramah tamahan warga', 'adem damai lezat', 'tenang damai']"
144,12,144_aluntanah_datardengan_benertempat_lainkeren,"['aluntanah', 'datardengan', 'benertempat', 'lainkeren', 'manteb', 'cowoku', 'dikunjingi', 'dogies', 'ditemuin', 'kapoknkesini']","['pengen kesana cowoku pamer donk pemandangan disana pengen', 'wajib dikunjingi trackingnya susah pemandangan mewah bawa dogies lucu deh', 'pemandangan manteb benertempat nga ditemuin ditempat lainkeren deh']"
145,12,145_tempatnya_bagus_ka_,"['tempatnya', 'bagus', 'ka', '', '', '', '', '', '', '']","['tempatnya bagus', 'tempatnya bagus', 'tempatnya bagus']"
146,12,146_ngeteh_crater_gradasi_bohong,"['ngeteh', 'crater', 'gradasi', 'bohong', 'halutinate', 'uper', 'membahagiankan', 'melelahkantapi', 'tetumbuhan', 'uhuy']","['warung ngeteh ngeteh menikmati pemandangan kawah puncak', 'great pemandangan many crater dont take long wil halutinate', 'nanjaknya lumyan melelahkantapi pemandangan membahagiankan uhuy']"
147,12,147_fisik_mental_kasi_sarankan,"['fisik', 'mental', 'kasi', 'sarankan', 'gng', 'bonus', 'post', 'kekuatan', 'simaksinya', 'nafas']","['pemula sya jalurnya gokil abis sihbikin dengkul nafas ngosanpadahal mdpl tracknya lohgak kasi bonusisanya ok lengkap pos simaksinya', 'via tapak geurot bc pos masi perkebunan warga tracknya pos puncak track sesunguhnya bonus butuh fisik kuat adrenalin fisik nafas mental teruji alhamdulilah tujuan jga terbayar', 'jalur worthith pendaki pemulapos simaksinya lengkap fasilitas adawarung musholatoiletshelter dlpas tracknya mental ujidengan jalurnya pos kasi bonustapi puas jalurnya lengkap petunjuk pos nyasilahkan coba']"
148,12,148_sunrise_terbenam_enjoy_matahari,"['sunrise', 'terbenam', 'enjoy', 'matahari', 'okt', 'interesting', 'seing', 'lihat', 'camp', 'camping']","['spot camping sunrise', 'pemandangan bagus sunrise camp pos perjalanan puncak', 'seing sunrise realy interesting go around morning camp david enjoy sunrise right time']"
149,12,149_mountain_mount_gunung_,"['mountain', 'mount', 'gunung', '', '', '', '', '', '', '']","['mount', 'mountain', 'mountain']"
150,12,150_keren_pemandanganya_benarbenar_pemandangan,"['keren', 'pemandanganya', 'benarbenar', 'pemandangan', '', '', '', '', '', '']","['pemandanganya keren', 'keren pemandanganya', 'keren pemandanganya']"
151,12,151_lengkap_fasilitasnya_fasilitas_kekeluargan,"['lengkap', 'fasilitasnya', 'fasilitas', 'kekeluargan', 'bnr', 'pasilitas', 'skrg', 'memadai', 'mantab', 'oke']","['fasilitas lengkap', 'fasilitas lengkap', 'fasilitasnya lengkap']"
152,11,152_nyaman_tempatnya_lokasinya_memuaskan,"['nyaman', 'tempatnya', 'lokasinya', 'memuaskan', 'destinasi', 'menarik', 'penuh', 'pengen', 'kesana', 'menantang']","['tempatnya nyaman', 'tempatnya nyaman', 'tempatnya nyaman']"
153,11,153_udara_sejuk_udaranya_tantangantantangan,"['udara', 'sejuk', 'udaranya', 'tantangantantangan', 'alres', 'susananya', 'besarkan', 'halamanku', 'umurku', 'kya']","['ketingian mdpl mt susananya sejuk udaranya menyegarkan pemandanganya indah kejauhan mt bagus indah', 'puas banget pemandangan indah udaranya beh dingin banget kya eropa belom move', 'kampung halamanku disana besarkan indah sejuk nyaman sat umurku pindah karawang']"
154,11,154_camping_realy_except_untik,"['camping', 'realy', 'except', 'untik', 'manfatkan', 'trashes', 'preman', 'extraordinary', 'liked', 'al']","['realy beautiful camp ground nice wind beautiful edelweis everywhere love quiet place', 'cocok manfatkan liburan orang terdekat cocok untik dijadikan camping loh pemandanganya indah cocok spot foto foto prawed', 'scenic beautiful place enjoyed camping al facilities except preman kampung']"
155,11,155_place_hiking_great_difucult,"['place', 'hiking', 'great', 'difucult', 'nice', 'loved', 'hike', 'god', 'dicapai', 'long']","['great place hiking area', 'great place hiking', 'great place hiking']"
156,11,156_lingkungan_lingkunganya_memperhatikan_menjaga,"['lingkungan', 'lingkunganya', 'memperhatikan', 'menjaga', 'kelestarian', 'pesan', 'kebersihan', 'pengelolan', 'apapun', 'amati']","['jagalah flora fauna lingkunganya pengunjung buanglah sampah tempatnya alam terjaga nyaman satwa amati kejauhan', 'bagus pengelolan fasilitas lingkungan menjaga lingkungan sampah', 'alam indah asri semoga pengelola mengerti memelihara alam nambah kerusakan semoga pengunjung memperhatikan kebersihan kelestarian alam']"
157,11,157_dramatic_trakingnya_lubang_distances,"['dramatic', 'trakingnya', 'lubang', 'distances', 'berbedacamping', 'alur', 'landaihanya', 'noteworthy', 'ngubek', 'particularly']","['gunung indah garut pos menampilkan pemandangan berbedacamping groundnya luasada fasilitas ojegtapi suka jalan kaki trakingnya landaihanya puncak hutan mati jalanya lumayan menanjak', 'one beautiful mountain west java also acesible many kind hikers even children hike craters amazing spot hutan mati mean dead forest dramatic spot', 'great hike minimum efort many unique spots explore within short distances dead forest particularly noteworthy dramatic pemandangan countles petrified tres portray irony desolation beautiful']"
158,10,158_healing_kebersamanya_kebugaran_udinya,"['healing', 'kebersamanya', 'kebugaran', 'udinya', 'kesehatan', 'sehat', 'ukuran', 'sukses', 'sumpah', 'nikmat']","['suasana keren pas healing', 'bagus healing', 'healing cocok banget']"
159,10,159_putri_lintas_via_cibodas,"['putri', 'lintas', 'via', 'cibodas', 'gbisa', 'nyimpang', 'keneh', 'mulainya', 'ptg', 'apah']","['kemaren putri lintas cibodas pemandanganya keren banget kandang badak cibodas pemandangan keren keren lewatin wisata nagih pokonya', 'jalur enakeun keneh jalur via putri pas turun nyimpang mendingan via cibodas', 'gngede kemarin jalur cibodas tujuan puncak treknya maknyus muter via putri cepat dikit trek putri curam via ptg keselamatan utama']"
160,10,160_pemula_tereknya_bagua_kesanah,"['pemula', 'tereknya', 'bagua', 'kesanah', 'pendaki', 'reungit', 'perjalananya', 'tuh', 'pasir', 'pintu']","['bagus pendaki pemula', 'pas pemula perjalananya tuh kangen pengen kesanah', 'tereknya lumayan pemula masuk pintu pasir reungit']"
