Topic,Count,Name,Representation,Representative_Docs
0,332,Trek Perjalanannya Seru,"['mantap', 'seru', 'kangen', 'treknya', 'rindu', 'penat', 'alah', 'masyalah', 'pengen', 'candu']","['treknya mantap', 'mantap treknya', 'mantap banget']"
1,248,Pemandangannya Indah,"['gunung', 'indah', 'mountain', 'pemandangan', 'keindahan', 'mendaki', 'merasakan', 'alam', 'pesona', 'gunungnya']","['gunung pemandangan bagus indah', 'pemandangan gunung indah', 'pemandangan gunung indah']"
10,74,Fasilitasnya Bagus,"['bagus', 'banget', 'masyalah', 'fasilitasnya', 'baguspuncaknya', 'asrikearipan', 'ceban', 'danganya', 'baguskren', 'belo']","['bagus jalur bagus', 'bagus banget', 'bagus banget']"
13,68,Hawanya sejuk,"['sejuk', 'dingin', 'hawanya', 'rindang', 'asik', 'asri', 'menghangatkan', 'pemanasan', 'bnr', 'dinginya']","['sejuk asri banget', 'dingin dingin seru', 'lezat hawanya sejuk dingin']"
17,63,Spot Foto Bagus,"['foto', 'spot', 'photo', 'instagramable', 'prewed', 'fotonya', 'bagus', 'fotografi', 'keren', 'papadayan']","['bagus foto', 'spot foto bagus', 'spot foto bagus']"
