Topic,Count,Name,Representation,Representative_Docs
9,26,9_sampah_buang_sampahnya_pendaki,"['sampah', 'buang', 'sampahnya', 'pendaki', 'sembarangan', 'turun', 'bertangung', 'membawa', 'bawa', 'mohon']","['bagus sampah jalan pendaki abai sampah bawa buang sampah sesuka hati sampah madupuntung rokok', 'indah sayang pendaki buang sampah sembarangan', 'buang sampah sembarangan pendaki']"
10,26,10_dingin_panas_tempatnya_banget,"['dingin', 'panas', 'tempatnya', 'banget', 'tubuh', 'suhu', 'dinginya', 'kuat', 'keren', 'diungkapin']","['tempatnya dingin banget', 'dingin banget tempatnya', 'dingin banget']"
11,24,11_hujan_awan_musim_hati,"['hujan', 'awan', 'musim', 'hati', 'cuaca', 'cuacanya', 'kesini', 'nice', 'batu', 'treknya']","['dingin hujan', 'treknya mantap sayang kesini musim hujan cuaca mendukung', 'kesini tolong jaga adab yada spot mistisdan musim penghujan mending ganti halauan kesini curah hujan lamabahkan seharian penuhutamakan keselamatan mengedepankan ambisi yasatu sampahnya tolong kondisikan']"
12,24,12_indah_hati_pemandangan_bagus,"['indah', 'hati', 'pemandangan', 'bagus', 'keindahan', 'bagas', 'home', 'puncaknya', 'melelahkan', 'sulit']","['pemandangan sulit ceritakan indah', 'hati hati bagas', 'bagus hati hati bagas nya']"
13,23,13_bagas_kuping_ilang_nu,"['bagas', 'kuping', 'ilang', 'nu', 'sunda', 'suasana', 'horor', 'na', 'nga', 'ramah']","['merinding pertengahan kada kuping bunyi teng nutup kuping ih seram', 'kokojoran na hamock sabari nempo nu ngadaki na bitis ciremod', 'pokona geunaheun wios kango nu ngartos sunda w da orang sunda abi']"
14,23,14_mahal_biaya_simaksinya_harga,"['mahal', 'biaya', 'simaksinya', 'harga', 'administrasinya', 'masuknya', 'bagus', 'tempatnya', 'gila', 'banget']","['sayangnya biaya simaksinya mahal', 'mahal biaya masuknya', 'biaya masuk mahal']"
15,23,15_track_jalan_lumayan_via,"['track', 'jalan', 'lumayan', 'via', 'jalur', 'lezat', 'jalanya', 'suka', 'licin', 'muncak']","['track lumayan nanjak lumayan cape wkwk', 'via apuy terkenal track lumayan mudah menurutku kali lumayan menyusahkan', 'track jalan kawah lezat']"
16,17,16_kesini_kesana_kapankapan_xnya,"['kesini', 'kesana', 'kapankapan', 'xnya', 'kapoknya', 'rate', 'traveler', 'wihi', 'rugi', 'mampir']","['kapankapan kesini', 'kesini', 'kesini']"
17,16,17_air_sumber_mata_perawatan,"['air', 'sumber', 'mata', 'perawatan', 'airnya', 'alun', 'buang', 'waterpak', 'tokai', 'bersuci']","['posnya lengkap mushola sumber air sayang toiletnya kotor perawatan', 'camp dkt sumber mata air wenak', 'rindu alun alun surya kencana aliran air sumber mata airnya kotor mari jaga bersih']"
18,16,18_surya_kencana_rusak_tenaga,"['surya', 'kencana', 'rusak', 'tenaga', 'akses', 'lihat', 'pulang', 'putri', 'ngecamp', 'edelweisnya']","['surya kencana gada obat banget si', 'surya kencana mengoda', 'move surya kencana']"
19,15,19_camp_sepi_bayar_tenda,"['camp', 'sepi', 'bayar', 'tenda', 'area', 'basecampnya', 'nak', 'bascamp', 'bamgeut', 'disinianginya']","['epic sampah area camp', 'ngerasa pondok salada keramean camp relatif sepi campnya ambil pojokan', 'direkomdasikan camp puncak larut lelah camp']"
20,15,20_gunung_pesawat_cocok_salah,"['gunung', 'pesawat', 'cocok', 'salah', 'arwah', 'berkaca', 'conserve', 'cma', 'climbers', 'banya']","['gunung pesawat jatuh ayah situ kayanya denger suara tolong hihi serem', 'sejuk nyaman ciri khas pegunungan ok kecuali rest rom alias kamar kotor cma daei sekian orang', 'gunung bersih kotor bersihin gakbisa ngereview gunung jelek kekotoranya berkaca kesini sabar menulis review']"
21,14,21_pas_disarankan_tenda_area,"['pas', 'disarankan', 'tenda', 'area', 'camp', 'rame', 'jalur', 'flyseat', 'scenery', 'sajadah']","['area puncak sempit hati tebing jurang bergantian sabar foto berpasir berdebu disarankan pakai masker pas jalan sumit', 'tempatnya bagus penyedia sewa tendanya jelek harga mahal dikasih tenda jelektenda kap flyseat k sleting tenda dol flyseat bahan tipis uang gabisa petugas bilangnya cek hadeuh', 'excelent getaway jakarta chalenging air panas refreshing locals friendly although litle lower scenery beter mostly due big crater beter surounding scenery youre sumit']"
22,13,22_dibayar_uang_didie_becek,"['dibayar', 'uang', 'didie', 'becek', 'kontan', 'maksain', 'kesitu', 'gaenak', 'nyakuta', 'pengeluaran']","['dibayar', 'dibayar', 'cape dibayar kontan pemandanganya']"
